soil_temperature,soil_moisture,conductivity,ph,nitrogen,phosphorus,potassium,salt,air_temperature,air_humidity,is_raining,crop_label
17.5,52.7,1075,6.5,90,42,43,711,20.9,82.0,True,rice
17.8,54.1,1141,7.04,85,58,41,731,21.8,80.3,True,rice
19.3,58.5,1095,7.84,60,55,44,693,23.0,82.3,True,rice
23.7,54.0,953,6.98,74,35,40,625,26.5,80.2,True,rice
16.6,51.1,988,7.63,78,42,42,607,20.1,81.6,True,rice
17.1,57.3,1071,7.07,69,37,42,684,23.1,83.4,True,rice
20.0,59.9,1018,5.7,69,55,38,639,22.7,82.6,True,rice
18.1,52.1,1109,5.72,94,53,40,721,20.3,82.9,True,rice
20.5,50.8,1050,6.69,89,54,38,676,24.5,83.5,True,rice
21.0,58.1,1069,6.34,68,58,38,659,23.2,83.0,True,rice
23.3,65.6,1194,5.39,91,53,40,767,26.5,81.4,True,rice
20.0,56.2,1089,7.5,90,46,42,713,24.0,81.5,True,rice
20.2,57.8,1140,5.11,78,58,44,752,26.8,80.9,True,rice
20.2,51.6,1167,6.98,93,56,36,769,24.0,82.1,True,rice
21.6,51.3,1017,6.95,94,50,37,678,25.7,80.7,True,rice
20.9,62.1,986,7.04,60,48,39,651,24.3,80.3,True,rice
18.1,61.3,996,6.25,85,38,41,605,21.6,82.8,True,rice
20.3,57.5,1062,6.97,91,35,39,678,23.8,80.4,True,rice
18.4,54.4,1025,5.95,77,38,36,653,21.9,80.2,True,rice
20.5,59.8,1039,5.85,88,35,40,660,23.6,83.6,True,rice
17.5,51.1,924,6.44,89,45,36,578,21.3,80.5,True,rice
22.9,54.2,1015,5.07,76,40,43,652,25.2,83.1,True,rice
19.5,50.2,997,6.01,67,59,41,601,21.9,81.0,True,rice
16.9,56.3,959,6.25,83,41,43,594,21.1,82.7,True,rice
20.4,56.0,1127,7.38,98,47,37,712,23.5,81.3,True,rice
22.1,61.8,1045,7.78,66,53,41,649,25.1,80.5,True,rice
23.2,55.1,1111,6.29,97,59,43,711,26.4,84.0,True,rice
20.2,62.3,1148,7.07,97,50,41,767,24.5,80.5,True,rice
16.5,57.1,1053,6.24,60,49,44,675,20.8,84.5,True,rice
17.9,49.8,968,6.04,84,51,35,608,22.3,80.6,True,rice
17.3,63.3,1121,5.82,73,57,41,710,21.4,84.9,True,rice
18.1,53.1,1092,6.36,92,35,40,678,22.2,80.3,True,rice
21.6,53.7,1014,6.36,85,37,39,670,24.5,82.7,True,rice
17.0,58.9,1109,5.01,98,53,38,715,20.3,81.6,True,rice
23.2,53.4,963,6.15,88,54,44,616,25.7,83.9,True,rice
22.9,56.5,1111,5.95,95,55,42,679,26.8,82.1,True,rice
22.6,58.1,1107,5.96,99,57,35,679,26.8,81.2,True,rice
21.3,67.3,1134,5.56,95,39,36,748,23.9,83.2,True,rice
18.1,59.0,1009,7.42,60,43,44,654,21.0,83.0,True,rice
